"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc334","806rcbc334","Specialists",661.321724709784,11.4427860696517,"UG"
"806rcbc340","806rcbc340","Specialists",1145.23714759536,20.2321724709784,"UG"
"806rcbc341","806rcbc341","Specialists",909.237147595357,19.9004975124378,"UG"
"806rcbc345","806rcbc345","Specialists",715.800995024876,13.7645107794362,"SE"
"806rcbc349","806rcbc349","Specialists",827.394693200663,22.2222222222222,"UG"
"806rcbc357","806rcbc357","Specialists",2108.01160862355,39.8009950248756,"UG"
"806rcbc359","806rcbc359","Specialists",1450.48424543947,35.3233830845771,"UG"
"806rcbc36","806rcbc36","Specialists",2519.80928689884,30.6799336650083,"SE"
"806rcbc364","806rcbc364","Specialists",1531.41956882255,31.0116086235489,"UG"
"806rcbc367","806rcbc367","Specialists",2347.10447761194,34.6600331674959,"UG"
"806rcbc370","806rcbc370","Specialists",1926.98009950249,40.4643449419569,"UG"
"806rcbc391","806rcbc391","Specialists",2461.90049751244,37.1475953565506,"SE"
"806rcbc401","806rcbc401","Specialists",1063.08789386401,27.1973466003317,"SE"
"806rcbc407","806rcbc407","Specialists",2393.92537313433,45.4394693200663,"UG"
"806rcbc410","806rcbc410","Specialists",1402.87064676617,31.6749585406302,"UG"
"806rcbc412","806rcbc412","Specialists",1685.51077943615,47.2636815920398,"UG"
"806rcbc416","806rcbc416","Specialists",1188.2271973466,12.7694859038143,"SE"
"806rcbc418","806rcbc418","Specialists",915.862354892206,32.3383084577114,"Others"
"806rcbc421","806rcbc421","Specialists",1234.62520729685,18.2421227197347,"Others"
"806rcbc422","806rcbc422","Specialists",799.744610281924,15.257048092869,"Others"
"806rcbc430","806rcbc430","Specialists",744.199004975124,20.5638474295191,"UG"
"806rcbc433","806rcbc433","Specialists",1283.98175787728,30.1824212271973,"UG"
"806rcbc435","806rcbc435","Specialists",2177.20232172471,25.3731343283582,"UG"
"806rcbc438","806rcbc438","Specialists",593.208955223881,13.5986733001658,"UG"
"806rcbc44","806rcbc44","Specialists",1281.73466003317,30.6799336650083,"NO"
"806rcbc442","806rcbc442","Specialists",1160.71144278607,26.5339966832504,"UG"
"806rcbc443","806rcbc443","Specialists",1411.51409618574,28.3582089552239,"UG"
"806rcbc447","806rcbc447","Specialists",609.469320066335,20.3980099502488,"Others"
"806rcbc449","806rcbc449","Specialists",3682.01326699834,39.9668325041459,"UG"
"806rcbc450","806rcbc450","Specialists",1391.55223880597,36.6500829187396,"UG"
"806rcbc453","806rcbc453","Specialists",590.298507462687,33.4991708126036,"UG"
"806rcbc455","806rcbc455","Specialists",1134.57213930348,21.7247097844113,"UG"
"806rcbc458","806rcbc458","Specialists",2479.67827529022,46.4344941956882,"UG"
"806rcbc459","806rcbc459","Specialists",1662.48424543947,47.4295190713101,"UG"
"806rcbc462","806rcbc462","Specialists",935.759535655058,22.8855721393035,"UG"
"806rcbc463","806rcbc463","Specialists",1276.42288557214,26.5339966832504,"Others"
"806rcbc476","806rcbc476","Specialists",865.117744610282,21.3930348258706,"Others"
"806rcbc490","806rcbc490","Specialists",988.475953565506,30.3482587064677,"UG"
"806rcbc51","806rcbc51","Specialists",2334.51243781095,28.6898839137645,"SE"
"806rcbc63","806rcbc63","Specialists",1938.74626865672,30.3482587064677,"NO"
"806rcbc86","806rcbc86","Specialists",1138.91542288557,14.0961857379768,"NO"
"806rcbc90","806rcbc90","Specialists",1914.17578772803,29.0215588723051,"SE"
"806rcbc11","806rcbc11","Transients",286.55223880597,17.0812603648425,"NO"
"806rcbc13","806rcbc13","Transients",544.26368159204,43.2835820895522,"SE"
"806rcbc14","806rcbc14","Transients",14.4029850746269,6.79933665008292,"NO"
