"","Plant","Ref","Line1","Line2","Batch","Biomass","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","alpG","alpD","alpS"
"ID_10047590","ID_10047590","R1","GPID_00225","81360","MMS Batch 1",13.69,-0.0729484397535491,0.0352337368634144,-0.00372200878713925,0.0064243948368249,0.00195412881641024,0.0218630475994963,-0.00530976060365117,0.112227351997871,0.0223378609224072,-0.0415818848079476,1.49996063641301,3.23061597423336,1.63253724053464
"ID_10047591","ID_10047591","R1","GPID_00203","Wibo/1-1_1-1","MMS Batch 1",12.19,0.0373322385074291,-0.05561638371246,0.127728694264125,0.138196893443624,0.0321475880380088,-0.0321406743330181,0.00275480707252801,-0.00436575717373036,-0.119221437191126,-0.00802870858038195,2.13696599577345,3.31506190411102,2.55144869939757
"ID_10047592","ID_10047592","R1","GPID_00235","NV866-1","MMS Batch 1",12.69,0.0527363939826,-0.0308479498354256,0.00131150260366147,-0.0695438456003939,0.0725792353802354,-0.147231645308179,-0.0186785564802728,-0.0753139816399749,0.00958621310726192,-0.265735632882596,1.35987446183507,3.34269857264166,2.02959067665676
"ID_10047593","ID_10047593","R1","GPID_00091","CANA","MMS Batch 1",12.73,-0.0776837775557599,-0.06246487576847,-0.0375608827838076,-0.0543035823667526,0.201058634855704,0.00422086381333756,0.153399169621012,0.00101557557559054,0.0155195388946765,0.055095094300999,2.001463797649,2.80702924826457,1.40982894618523
"ID_10047594","ID_10047594","R1","GPID_00073","1070","MMS Batch 1",13.06,-0.0146885425492483,-0.027321944650035,0.0200125027823809,-0.0245504992894322,-0.0339391430521086,0.0148054230988751,-0.0257715600153804,0.0132980033646428,-0.00583211229339148,-0.0127625682365544,1.58641031353339,2.52457545433927,1.97089238572392
"ID_10047595","ID_10047595","R1","GPID_00198","Uran/1","MMS Batch 1",12.95,0.0635834406565962,-0.0195412211614103,0.0568189968765463,-0.0734819394220446,-0.0112892616592854,0.00948081503170205,0.000362578046005063,0.00538325995704986,0.0146471759393274,0.0156133544894334,0.885335795951436,3.39301126279482,2.67710961798779
"ID_10047596","ID_10047596","R1","GPID_00083","ACEQUIA","MMS Batch 1",13.83,-0.0800839000423433,-0.0997395291370992,-0.0514239537750103,-0.0126673557451147,0.0195455553819089,0.0782159603977541,-0.000765477667285202,-0.136616556922124,-0.0114313776911459,-0.00684754134680867,1.46626400704103,3.19389118028535,3.03980978197645
"ID_10047597","ID_10047597","R1","GPID_00087","AMCOR","MMS Batch 1",12.87,-0.085719240455943,-0.111263827821723,-0.0532915150207914,-0.0200156717377612,0.0298531158989222,0.0769807457416924,0.00828292278680611,-0.141856226140572,-0.0111485586805267,-0.0157773359609398,1.79199103331223,3.09186300436133,1.80251194638125
"ID_10047598","ID_10047598","R1","GPID_00173","Hiverna/1-1-2EP3-2","MMS Batch 1",13.32,0.0348133291542363,-0.0578566184915763,0.119289032182032,0.122238457440677,0.0321098267341713,-0.0207505569717426,0.0262613025508584,-0.00157834295025072,-0.0865629600662774,-0.00731472722944048,2.17468883242412,3.01749663381967,2.29826343078943
"ID_10047599","ID_10047599","R1","GPID_00068","505","MMS Batch 1",11.52,-0.0796458468302693,-0.0221114840348665,-0.0165693311706573,0.000713416284188048,-0.00290456515830342,0.0451432773228124,-0.00730890265575705,0.0763954990067857,0.00881005073114817,-0.0401127093017993,1.35625189303158,2.86454462470185,2.12115470051929
"ID_10047600","ID_10047600","R1","GPID_00097","XBJ90.03-16-1-1-1 (NAVIO)","MMS Batch 1",13.44,-0.0824824273295817,-0.00858360550591004,-0.0217243550900644,-0.0356799179768575,0.171079715656763,-0.00329561395335508,0.116338243297293,0.144120979805949,0.0157098630469315,0.0668035164538797,2.10684455426993,3.22044857215355,3.08193646165814
